nom,note,prix,categories,adresse,latitude,longitude
Le Comptoir de la Gastronomie,4.5,€€,French,34 rue Montmartre 75001 Paris France,48.8645157999652,2.34540185646608
Bistro des Augustins,4.4,€€,"Bistros, Wine Bars",39 quai des Grands Augustins 75006 Paris France,48.854754,2.342119
Brasserie Bellanger,4.8,,French,140 rue du Faubourg Poissonnière 75010 Paris France,48.88094,2.34994
Le P'tit Bistro,4.6,€€,"Brasseries, Bars",8 rue Saint-Martin 75004 Paris France,48.85755,2.34938
Le Corner Saint Germain,4.7,,French,92 boulevard Saint-Germain 75005 Paris France,48.85126,2.34432
Angelina,4.0,€€€,"Breakfast & Brunch, Tea Rooms, Patisserie/Cake Shop",226 rue de Rivoli 75001 Paris France,48.865092,2.328464
La Jacobine,4.5,€€€,"Tea Rooms, French",59-61 rue Saint-André des Arts 75006 Paris France,48.8532345157095,2.33900494873524
Chez Fernand,4.4,€€€,French,9 rue Christine 75006 Paris France,48.85461,2.33954
Au Bourguignon du Marais,4.3,€€€,French,52 rue François Miron 75004 Paris France,48.8555191281373,2.3577103595245
Marcelle,5.0,,French,9 rue Antoine Vollon 75012 Paris France,48.864111,2.345627
Sacré Frenchy !,4.5,,"French, Bars",58 boulevard de Sebastopol 75003 Paris France,48.86319,2.35106
L'Escargot,3.9,€€€,French,38 rue Montorgueil 75001 Paris France,48.864206,2.3467
L'Avant Comptoir,4.4,€€,"Tapas Bars, Wine Bars",3 carrefour de l'Odéon 75006 Paris France,48.85202,2.3388
Le Relais de l'Entrecôte,4.1,€€€,Steakhouses,20 rue Saint Benoît 75006 Paris France,48.85469,2.3329
Le Bistrot des Vosges,4.3,€€,Bistros,31 bd Beaumarchais 75004 Paris France,48.8557424,2.368231
Poulette,4.4,€€€,French,3 Rue Etienne Marcel 75001 Paris France,48.8634,2.35068
Café Blanc,4.4,,"French, Coffee & Tea, Breakfast & Brunch",10 rue Croix des Petits Champs 75001 Paris France,48.8627362423863,2.339585
Chez Margot,4.3,€€,French,25 bis bd Henri IV 75004 Paris France,48.85192,2.3645
La Fontaine de Mars,4.3,€€€,French,129 rue Saint-Dominique 75007 Paris France,48.858394,2.302568
La Coïncidence,4.5,€€,French,15 rue Mesnil 75116 Paris France,48.868105,2.284365
Bouillon Chartier,3.4,€€,French,7 rue du Faubourg Montmartre 75009 Paris France,48.87194,2.34317
Le Vaudésir,4.8,€,Bistros,41 rue Dareau 75014 Paris France,48.83035,2.33548
Chez Mademoiselle,4.5,€€€,French,16 rue Charlemagne 75004 Paris France,48.85432,2.35979
L'Olivier du Marais,4.8,,French,16 place des Vosges 75004 Paris France,48.85553,2.36657
Les Antiquaires,4.4,€€€,Bistros,13 rue du Bac 75007 Paris France,48.8580664639432,2.32823697067099
Le Soufflé,4.3,€€€,French,36 rue du Mont Thabor 75001 Paris France,48.86645,2.32647
Le Comptoir,4.4,€€,"Bistros, Cafes",18 avenue René Coty 75014 Paris France,48.8295898,2.33391
La Régalade,4.5,€€€,French,106 rue Saint-Honoré 75001 Paris France,48.8616441182389,2.34201570904084
Big Mamma,4.5,€,Pizza,111 Rue Réaumur 75002 Paris France,48.86813,2.34329
Frenchie,4.3,€€€€,"French, Modern European",5 rue du Nil 75002 Paris France,48.867754322367,2.3477420774331
La Cordonnerie,4.7,€€€,French,20 rue Saint Roch 75001 Paris France,48.86543,2.33237
Le Bistro du Périgord,4.5,€€€,Bistros,71 rue Saint-Jacques 75005 Paris France,48.8498092201519,2.34515282327701
LouLou,3.7,€€€,Italian,107 rue de Rivoli 75001 Paris France,48.86322,2.3333
Le Café,4.3,€€,Cafes,62 rue Tiquetonne 75002 Paris France,48.86483,2.34588
Le Bistro Lyonnais,4.5,€€,French,6 rue Michel Chasles 75012 Paris France,48.84698,2.37383
Grenouilles,4.8,€,"Sandwiches, Delicatessen",55 rue du Chevalier de la Barre 75018 Paris France,48.8871061857917,2.34178242552619
万食如意 Fresh Noodles,4.4,€€,"Chinese, Pan Asian",23 rue Saint-Denis 75001 Paris France,48.859595,2.347833
Café de la Régence,4.1,€€,French,167 rue Saint-Honoré 75001 Paris France,48.863613,2.334516
Les Petites Bouchées,4.5,€€,"Tapas Bars, Gastropubs",4 rue du Roi de Sicile 75004 Paris France,48.855682,2.360767
Langousta,4.9,€€,Seafood,20 rue Singer 75016 Paris France,48.856266,2.278149
Le Bon Georges,4.3,€€€,Bistros,45 rue Saint-Georges 75009 Paris France,48.877657,2.337197
Le Potager du Père Thierry,4.6,€€,French,16 rue des Trois Frères 75018 Paris France,48.884476,2.341335
Le Petit Lux,4.7,€€,Bistros,29 rue de Vaugirard 75006 Paris France,48.84822,2.33121
Chez Georges,3.8,€€€,French,1 rue du Mail 75002 Paris France,48.8666718,2.341457
Sanukiya,4.5,€€,Japanese,9 rue d'Argenteuil 75001 Paris France,48.8647,2.3338199
Victoires,4.0,€€,French,6 rue la Vrillière 75001 Paris France,48.865569,2.340286
L'Epicure,4.6,€€€€,"French, Breakfast & Brunch",112 rue du Faubourg Saint-Honoré 75008 Paris France,48.871697,2.314657
Loulou,3.9,€€,"Gluten-Free, Breakfast & Brunch, Beer Bar",90 boulevard Saint-Germain 75005 Paris France,48.851192,2.344806
Chez Janou,4.1,€€,"Bistros, Provencal",2 rue Roger Verlomme 75003 Paris France,48.8566952430158,2.36717752386277
Freddy's,4.6,€€€,"Tapas Bars, French, Steakhouses",54 rue de Seine 75006 Paris France,48.85424,2.33685
Brasserie Dubillot,4.4,,"Brasseries, French",222 Rue Saint-Denis 75002 Paris France,48.86809,2.35193
Restaurant de la Tour,4.8,€€€,French,6 Rue Desaix 75015 Paris France,48.85439,2.29505
Gambino,4.4,€€,Italian,6 rue Gomboust 75001 Paris France,48.86736,2.33298
Les Papilles,4.5,€€€,"Wine Bars, Bistros",30 rue Gay-Lussac 75005 Paris France,48.84461,2.34174
Le Valois,4.3,€€€,"French, Cafes, Brasseries",1 place Rio de Janeiro 75008 Paris France,48.8775413677239,2.3102497908318
Le Bougnat,4.7,€€,French,28 rue de Saintonge 75003 Paris France,48.86227,2.36316
Balagan,4.4,€€,"Middle Eastern, Cocktail Bars",9 rue d'Alger 75001 Paris France,48.86543,2.32979
Le Petit Marché,4.3,€€€,French,9 rue Béarn 75003 Paris France,48.857267,2.366041
Les Artizans,4.6,€€,"Patisserie/Cake Shop, Bistros",30 rue de Montorgueil 75001 Paris France,48.863763,2.346643
L'Oratoire,4.6,,"Brasseries, Bars",143 rue Saint-Honoré 75001 Paris France,48.8618043,2.3406102
Happy Caffé,4.9,€,"Creperies, Sandwiches",214 rue de Rivoli 75001 Paris France,48.86476,2.329615
Il Gigolo,4.4,€€,Italian,11 rue de la Huchette 75005 Paris France,48.8529369,2.3460259
Au Bon Coin,4.6,€€,Bistros,21 rue de la Collégiale 75005 Paris France,48.83813,2.35184
The Frog & Underground,4.5,€€,"Pubs, American, Brasseries",176 rue Montmartre 75002 Paris France,48.871088,2.343115
Les Philosophes,3.9,€€,Bistros,28 rue Vieille du Temple 75004 Paris France,48.857332,2.357493
20 Eiffel,4.5,,French,20 rue de Monttessuy 75007 Paris France,48.85948,2.29853
Le Royal,3.9,€€,Bistros,212 rue de Grenelle 75007 Paris France,48.856533,2.302903
L'As du Fallafel,4.3,€€,"Kosher, Sandwiches, Falafel",34 rue des Rosiers 75004 Paris France,48.857498,2.35908
