nom,note,prix,categories,adresse,latitude,longitude
Le Comptoir de la Gastronomie,4.5,€€,French,34 rue Montmartre 75001 Paris France,48.8645157999652,2.34540185646608
Bistro des Augustins,4.4,€€,"Bistros, Wine Bars",39 quai des Grands Augustins 75006 Paris France,48.854754,2.342119
Café Blanc,4.4,N/A,"French, Coffee & Tea, Breakfast & Brunch",10 rue Croix des Petits Champs 75001 Paris France,48.8627362423863,2.339585
Café de la Régence,4.1,€€,French,167 rue Saint-Honoré 75001 Paris France,48.863613,2.334516
LouLou,3.7,€€€,Italian,107 rue de Rivoli 75001 Paris France,48.86322,2.3333
Marcelle,5.0,N/A,French,9 rue Antoine Vollon 75012 Paris France,48.864111,2.345627
La Cordonnerie,4.7,€€€,French,20 rue Saint Roch 75001 Paris France,48.86543,2.33237
Victoires,4.0,€€,French,6 rue la Vrillière 75001 Paris France,48.865569,2.340286
Chez Georges,3.8,€€€,French,1 rue du Mail 75002 Paris France,48.8666718,2.341457
Le P'tit Bistro,4.6,€€,"Brasseries, Bars",8 rue Saint-Martin 75004 Paris France,48.85755,2.34938
Zébulon,4.4,€€€,"Bistros, Modern European, French",10 rue de Richelieu 75001 Paris France,48.8642006,2.33617
Grand Hôtel du Palais Royal,4.7,€€€,"Hotels, Restaurants, Beauty & Spas",4 rue de Valois 75001 Paris France,48.8631096,2.33779
La Régalade,4.5,€€€,French,106 rue Saint-Honoré 75001 Paris France,48.8616441182389,2.34201570904084
Café de Paris,3.9,€€,Brasseries,3 rue de l'Échelle 75001 Paris France,48.863662,2.33385
Bistrot Valois,3.2,€€€,Bistros,1 place de Valois 75001 Paris 01 France,48.86319,2.3381
Le Relais du Louvre,4.1,€€,French,3 rue Saint-Honoré 75001 Paris France,48.861651,2.34094
Sanukiya,4.5,€€,Japanese,9 rue d'Argenteuil 75001 Paris France,48.8647,2.3338199
De Voltaire à Rousseau,4.7,N/A,"Pubs, Bistros",4 rue Jean-Jacques Rousseau 75001 Paris France,48.8621712,2.3399601
Le Corner Saint Germain,4.7,N/A,French,92 boulevard Saint-Germain 75005 Paris France,48.85126,2.34432
Angelina,4.0,€€€,"Breakfast & Brunch, Tea Rooms, Patisserie/Cake Shop",226 rue de Rivoli 75001 Paris France,48.865092,2.328464
Bistrot Richelieu,4.2,€€€,"French, Breakfast & Brunch",45 rue de Richelieu 75001 Paris France,48.866218,2.337011
Juvéniles,4.2,€€€€,"French, Wine Bars",47 rue de Richelieu 75001 Paris France,48.86624,2.33717
La Brasserie du Louvre,3.9,N/A,French,1 Place André Malraux 75001 Paris France,48.86377,2.33469
Anticafé,4.5,€,Cafes,10 rue de Richelieu 75001 Paris France,48.864178,2.336246
Le Soufflé,4.3,€€€,French,36 rue du Mont Thabor 75001 Paris France,48.86645,2.32647
Sacré Frenchy !,4.5,N/A,"French, Bars",58 boulevard de Sebastopol 75003 Paris France,48.86319,2.35106
Kodawari Ramen,4.2,N/A,Ramen,12 rue de Richelieu 75001 Paris France,48.864387,2.3362552
L'Escargot,3.9,€€€,French,38 rue Montorgueil 75001 Paris France,48.864206,2.3467
Gambino,4.4,€€,Italian,6 rue Gomboust 75001 Paris France,48.86736,2.33298
Ô Chateau,4.4,€€,"Wine Bars, French",68 rue Jean-Jacques Rousseau 75001 Paris France,48.86434,2.34405
Le Brun,4.8,N/A,French,95 rue Saint Honoré 75001 Paris France,48.86128,2.3432
Brasserie de la Bourse,4.4,€€,"French, Brasseries",27 Rue Jean Jacques Rousseau 75001 Paris France,48.86289,2.34125
Pho 14 Opera,4.1,€€,"Vietnamese, Chinese, Pan Asian",17 rue Molière 75001 Paris France,48.8653294112064,2.33612495646429
Chez Fernand,4.4,€€€,French,9 rue Christine 75006 Paris France,48.85461,2.33954
Big Mamma,4.5,€,Pizza,111 Rue Réaumur 75002 Paris France,48.86813,2.34329
L'Oratoire,4.6,N/A,"Brasseries, Bars",143 rue Saint-Honoré 75001 Paris France,48.8618043,2.3406102
Frenchie,4.3,€€€€,"French, Modern European",5 rue du Nil 75002 Paris France,48.867754322367,2.3477420774331
Poulette,4.4,€€€,French,3 Rue Etienne Marcel 75001 Paris France,48.8634,2.35068
Le Comptoir des Petits Champs,4.1,€€€,French,17 rue des Petits Champs 75001 Paris France,48.86645,2.33792
Balagan,4.4,€€,"Middle Eastern, Cocktail Bars",9 rue d'Alger 75001 Paris France,48.86543,2.32979
Canard Street,4.4,€€,"French Southwest, Delicatessen",16 rue des Petits Champs 75002 Paris France,48.86674,2.33716
Iovine's,4.6,€€,"Pizza, Italian",7 bis rue du Colonel Driant 75001 Paris France,48.86334,2.34049
Le TUB,4.8,N/A,"Pizza, Salad, Burgers",26 rue de Beaujolais 75001 Paris France,48.8664,2.33761
Verjus,4.5,€€,"Wine Bars, Tapas/Small Plates",47 rue Montpensier 75001 Paris France,48.8663726668237,2.33731901374335
La Poule au Pot,4.2,€€€,French,9 rue Vauvilliers 75001 Paris France,48.861797,2.343306
Bistrot Vivienne,3.9,€€€,Bistros,4 rue des Petits Champs 75002 Paris France,48.86621,2.33947
Restaurant Véro-Dodat,4.5,€€,French,19 Galerie Véro-Dodat 75001 Paris France,48.86284558,2.33993117
L'Entente,4.5,€€,"British, Modern European",13 rue Monsigny 75002 Paris France,48.869145,2.335391
La Jacobine,4.5,€€€,"Tea Rooms, French",59-61 rue Saint-André des Arts 75006 Paris France,48.8532345157095,2.33900494873524
L'Officine du Louvre,4.3,N/A,"Tapas/Small Plates, Cocktail Bars",1 place André Malraux 75001 Paris France,48.863004,2.335723
Loup,3.9,€€€,"French, Breakfast & Brunch",44 rue du Louvre 75001 Paris France,48.863959,2.342631
Basilic Thaï,5.0,N/A,Thai,46 rue Croix des Petits Champs 75001 Paris France,48.8648,2.34065
Mystery Cuisine,4.9,€€€€,French,37 Bis Rue De Montpensier 75001 Paris France,48.86572,2.33728
La Rotonde St. Honoré,3.8,N/A,French,10 rue des Pyramides 75001 Paris France,48.864591,2.332897
Le Café,4.3,€€,Cafes,62 rue Tiquetonne 75002 Paris France,48.86483,2.34588
Ellsworth,4.3,€€€,"Wine Bars, French",34 rue de Richelieu 75001 Paris France,48.86558,2.33689
Le Shanghaï Hang-Zhou,4.3,€€,Chinese,4 rue Perrault 75001 Paris France,48.86029,2.34177
Happy Caffé,4.9,€,"Creperies, Sandwiches",214 rue de Rivoli 75001 Paris France,48.86476,2.329615
Café Plume,3.9,€€,Brasseries,164 rue Saint-Honoré 75001 Paris France,48.862233,2.339744
Le Bistrot de Paris,4.4,€€€,"French, Bistros, Brasseries",33 rue de Lille 75007 Paris France,48.85854,2.32946
Gemini,4.3,€€,Italian,16 rue des Halles 75001 Paris France,48.8593674647599,2.34705866389581
The Frog & Underground,4.5,€€,"Pubs, American, Brasseries",176 rue Montmartre 75002 Paris France,48.871088,2.343115
Caves Legrand,4.4,€€€,"Beer, Wine & Spirits, Wine Tasting Room, Tapas/Small Plates",1 rue de la Banque 75002 Paris France,48.8662599,2.33993
Odette,4.6,N/A,"French, Wine Bars, Breakfast & Brunch",25 rue du Pont Neuf 75001 Paris France,48.86061,2.34452
Les Artizans,4.6,€€,"Patisserie/Cake Shop, Bistros",30 rue de Montorgueil 75001 Paris France,48.863763,2.346643
Enza & Famiglia Trattoria Pasta,4.5,€€,Italian,89 rue Saint-Honoré 75001 Paris France,48.8609426,2.3433822
