Role: controller, Map: All, Elo: High, Agent: Brimstone, Win%: 52.5, Pick%: 4.8, Score: 38.19
Role: controller, Map: All, Elo: Low, Agent: Brimstone, Win%: 50.6, Pick%: 5.4, Score: 37.04
Role: controller, Map: All, Elo: Mid, Agent: Brimstone, Win%: 51.1, Pick%: 5.5, Score: 37.42
Role: controller, Map: Ascent, Elo: High, Agent: Viper, Win%: 100.0, Pick%: 0.1, Score: 70.03
Role: controller, Map: Ascent, Elo: Low, Agent: Brimstone, Win%: 51.7, Pick%: 6.1, Score: 38.02
Role: controller, Map: Ascent, Elo: Mid, Agent: Brimstone, Win%: 52.0, Pick%: 6.3, Score: 38.29
Role: controller, Map: Fracture, Elo: High, Agent: Omen, Win%: 64.3, Pick%: 0.5, Score: 45.16
Role: controller, Map: Fracture, Elo: Low, Agent: Brimstone, Win%: 51.6, Pick%: 7.0, Score: 38.22
Role: controller, Map: Fracture, Elo: Mid, Agent: Brimstone, Win%: 51.7, Pick%: 10.0, Score: 39.19
Role: controller, Map: Haven, Elo: High, Agent: Viper, Win%: 73.7, Pick%: 0.1, Score: 51.62
Role: controller, Map: Haven, Elo: Low, Agent: Omen, Win%: 53.8, Pick%: 5.7, Score: 39.37
Role: controller, Map: Haven, Elo: Mid, Agent: Brimstone, Win%: 52.8, Pick%: 5.1, Score: 38.49
Role: controller, Map: Icebox, Elo: High, Agent: Viper, Win%: 50.8, Pick%: 17.5, Score: 40.81
Role: controller, Map: Icebox, Elo: Low, Agent: Viper, Win%: 51.0, Pick%: 8.7, Score: 38.31
Role: controller, Map: Icebox, Elo: Mid, Agent: Viper, Win%: 50.3, Pick%: 14.4, Score: 39.53
Role: controller, Map: Lotus, Elo: High, Agent: Viper, Win%: 59.5, Pick%: 0.5, Score: 41.80
Role: controller, Map: Lotus, Elo: Low, Agent: Astra, Win%: 53.5, Pick%: 0.7, Score: 37.66
Role: controller, Map: Lotus, Elo: Mid, Agent: Brimstone, Win%: 52.2, Pick%: 4.4, Score: 37.86
Role: controller, Map: Pearl, Elo: High, Agent: Brimstone, Win%: 56.0, Pick%: 1.6, Score: 39.68
Role: controller, Map: Pearl, Elo: Low, Agent: Omen, Win%: 51.1, Pick%: 5.6, Score: 37.45
Role: controller, Map: Pearl, Elo: Mid, Agent: Viper, Win%: 50.8, Pick%: 7.3, Score: 37.75
Role: controller, Map: Split, Elo: High, Agent: Omen, Win%: 52.1, Pick%: 9.4, Score: 39.29
Role: controller, Map: Split, Elo: Low, Agent: Astra, Win%: 53.0, Pick%: 1.2, Score: 37.46
Role: controller, Map: Split, Elo: Mid, Agent: Brimstone, Win%: 51.9, Pick%: 5.2, Score: 37.89
Role: duelist, Map: All, Elo: High, Agent: Jett, Win%: 50.1, Pick%: 15.7, Score: 39.78
Role: duelist, Map: All, Elo: Low, Agent: Reyna, Win%: 50.8, Pick%: 13.2, Score: 39.52
Role: duelist, Map: All, Elo: Mid, Agent: Reyna, Win%: 50.3, Pick%: 12.8, Score: 39.05
Role: duelist, Map: Ascent, Elo: High, Agent: Yoru, Win%: 58.5, Pick%: 0.9, Score: 41.22
Role: duelist, Map: Ascent, Elo: Low, Agent: Raze, Win%: 53.6, Pick%: 8.4, Score: 40.04
Role: duelist, Map: Ascent, Elo: Mid, Agent: Jett, Win%: 49.5, Pick%: 14.4, Score: 38.97
Role: duelist, Map: Fracture, Elo: High, Agent: Phoenix, Win%: 62.3, Pick%: 1.2, Score: 43.97
Role: duelist, Map: Fracture, Elo: Low, Agent: Reyna, Win%: 50.9, Pick%: 12.9, Score: 39.50
Role: duelist, Map: Fracture, Elo: Mid, Agent: Reyna, Win%: 51.0, Pick%: 12.6, Score: 39.48
Role: duelist, Map: Haven, Elo: High, Agent: Jett, Win%: 53.8, Pick%: 18.7, Score: 43.27
Role: duelist, Map: Haven, Elo: Low, Agent: Reyna, Win%: 51.0, Pick%: 13.4, Score: 39.72
Role: duelist, Map: Haven, Elo: Mid, Agent: Reyna, Win%: 50.1, Pick%: 12.8, Score: 38.91
Role: duelist, Map: Icebox, Elo: High, Agent: Phoenix, Win%: 65.0, Pick%: 0.8, Score: 45.74
Role: duelist, Map: Icebox, Elo: Low, Agent: Reyna, Win%: 51.5, Pick%: 12.7, Score: 39.86
Role: duelist, Map: Icebox, Elo: Mid, Agent: Jett, Win%: 50.2, Pick%: 13.9, Score: 39.31
Role: duelist, Map: Lotus, Elo: High, Agent: Reyna, Win%: 54.5, Pick%: 7.7, Score: 40.46
Role: duelist, Map: Lotus, Elo: Low, Agent: Reyna, Win%: 51.8, Pick%: 12.7, Score: 40.07
Role: duelist, Map: Lotus, Elo: Mid, Agent: Reyna, Win%: 50.8, Pick%: 12.7, Score: 39.37
Role: duelist, Map: Pearl, Elo: High, Agent: Neon, Win%: 64.4, Pick%: 1.0, Score: 45.38
Role: duelist, Map: Pearl, Elo: Low, Agent: Reyna, Win%: 51.3, Pick%: 12.8, Score: 39.75
Role: duelist, Map: Pearl, Elo: Mid, Agent: Reyna, Win%: 50.8, Pick%: 12.9, Score: 39.43
Role: duelist, Map: Split, Elo: High, Agent: Raze, Win%: 51.4, Pick%: 17.5, Score: 41.23
Role: duelist, Map: Split, Elo: Low, Agent: Reyna, Win%: 50.7, Pick%: 12.8, Score: 39.33
Role: duelist, Map: Split, Elo: Mid, Agent: Raze, Win%: 51.2, Pick%: 12.2, Score: 39.50
Role: initiator, Map: All, Elo: High, Agent: Sova, Win%: 50.8, Pick%: 7.0, Score: 37.66
Role: initiator, Map: All, Elo: Low, Agent: Skye, Win%: 50.7, Pick%: 3.3, Score: 36.48
